Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000000.jpg,1.9465,8,20,1024x1024,1048576
00000000_(2).jpg,0.1424,8,20,800x800,640000
00000000_(3).jpg,0.1756,8,20,1024x772,790528
00000000.jpg,0.3087,16,20,1024x1024,1048576
00000000_(2).jpg,0.1819,16,20,800x800,640000
00000000_(3).jpg,0.2157,16,20,1024x772,790528
00000000.jpg,0.4980,32,20,1024x1024,1048576
00000000_(2).jpg,0.2942,32,20,800x800,640000
00000000_(3).jpg,0.3633,32,20,1024x772,790528
00000000.jpg,2.1728,8,20,1024x1024,1048576
00000000_(2).jpg,0.1557,8,20,800x800,640000
00000000_(3).jpg,0.1946,8,20,1024x772,790528
00000000.jpg,0.3321,16,20,1024x1024,1048576
00000000_(2).jpg,0.1729,16,20,800x800,640000
00000000_(3).jpg,0.2336,16,20,1024x772,790528
00000000.jpg,0.5661,32,20,1024x1024,1048576
00000000_(2).jpg,0.3567,32,20,800x800,640000
00000000_(3).jpg,0.5154,32,20,1024x772,790528
00000000.jpg,1.6808,8,20,1024x1024,1048576
00000000_(2).jpg,0.1596,8,20,800x800,640000
00000000_(3).jpg,0.1815,8,20,1024x772,790528
00000000_(4).jpg,0.1805,8,20,1024x768,786432
00000000_(5).jpg,0.1620,8,20,1024x685,701440
00000000_(6).jpg,0.1145,8,20,1024x550,563200
00000000_(7).jpg,0.1677,8,20,1024x683,699392
00000001.jpg,0.2365,8,20,1024x1024,1048576
00000001_(2).jpg,0.2347,8,20,1024x1024,1048576
00000001_(3).jpg,0.3561,8,20,1600x900,1440000
00000000.jpg,0.3412,16,20,1024x1024,1048576
00000000_(2).jpg,0.1835,16,20,800x800,640000
00000000_(3).jpg,0.3291,16,20,1024x772,790528
00000000_(4).jpg,0.2804,16,20,1024x768,786432
00000000_(5).jpg,0.2514,16,20,1024x685,701440
00000000_(6).jpg,0.1865,16,20,1024x550,563200
00000000_(7).jpg,0.2124,16,20,1024x683,699392
00000001.jpg,0.3210,16,20,1024x1024,1048576
00000001_(2).jpg,0.3083,16,20,1024x1024,1048576
00000001_(3).jpg,0.4331,16,20,1600x900,1440000
00000000.jpg,3.3913,32,20,1024x1024,1048576
00000000_(2).jpg,1.1099,32,20,800x800,640000
00000000_(3).jpg,1.1910,32,20,1024x772,790528
00000000_(4).jpg,1.4303,32,20,1024x768,786432
00000000_(5).jpg,2.1456,32,20,1024x685,701440
00000000_(6).jpg,1.2191,32,20,1024x550,563200
00000000_(7).jpg,0.9644,32,20,1024x683,699392
00000001.jpg,1.8307,32,20,1024x1024,1048576
00000001_(2).jpg,1.0962,32,20,1024x1024,1048576
00000001_(3).jpg,1.5731,32,20,1600x900,1440000
00000000.jpg,0.20670,0.00776,8,20,1024x1024,1048576
00000000.jpg,0.30934,0.04150,16,20,1024x1024,1048576
00000000.jpg,0.44652,0.05335,32,20,1024x1024,1048576
00000000.jpg,0.74685,0.01110,8,20,1024x1024,1048576
00000000_(2).jpg,0.44036,0.01430,8,20,800x800,640000
00000000_(3).jpg,0.56653,0.01654,8,20,1024x772,790528
00000000_(4).jpg,0.59166,0.04218,8,20,1024x768,786432
00000000_(5).jpg,0.47611,0.02022,8,20,1024x685,701440
00000000.jpg,0.97584,0.01269,16,20,1024x1024,1048576
00000000_(2).jpg,0.58988,0.01139,16,20,800x800,640000
00000000_(3).jpg,0.74847,0.01646,16,20,1024x772,790528
00000000_(4).jpg,0.74146,0.00502,16,20,1024x768,786432
00000000_(5).jpg,0.65209,0.01131,16,20,1024x685,701440
00000000.jpg,0.49495,0.03523,32,20,1024x1024,1048576
00000000_(2).jpg,0.28335,0.00857,32,20,800x800,640000
00000000_(3).jpg,0.36326,0.01232,32,20,1024x772,790528
00000000_(4).jpg,0.37883,0.02438,32,20,1024x768,786432
00000000_(5).jpg,0.32829,0.02461,32,20,1024x685,701440
00000000.jpg,1.24329,0.17177,8,20,1024x1024,1048576
00000000.jpg,0.81245,0.07683,8,20,1024x1024,1048576
00000000_(2).jpg,0.46461,0.04170,8,20,800x800,640000
00000000_(3).jpg,0.59255,0.04975,8,20,1024x772,790528
00000000.jpg,0.65993,0.08083,8,20,1024x1024,1048576
00000000_(2).jpg,0.41476,0.04308,8,20,800x800,640000
00000000_(3).jpg,0.50299,0.04512,8,20,1024x772,790528
00000000.jpg,0.50855,0.03850,8,20,1024x1024,1048576
00000000_(2).jpg,0.34783,0.07055,8,20,800x800,640000
00000000_(3).jpg,0.35366,0.04393,8,20,1024x772,790528
00000000.jpg,0.26401,0.00926,8,20,1024x1024,1048576
00000000_(2).jpg,0.15582,0.00786,8,20,800x800,640000
00000000_(3).jpg,0.18045,0.00606,8,20,1024x772,790528
00000000.jpg,0.78209,0.03630,8,20,1024x1024,1048576
00000000_(2).jpg,0.51733,0.06012,8,20,800x800,640000
00000000.jpg,0.65396,0.02061,8,20,1024x1024,1048576
00000000_(2).jpg,0.39297,0.01903,8,20,800x800,640000
00000000.jpg,0.40639,0.02849,8,20,1024x1024,1048576
00000000_(2).jpg,0.23743,0.01839,8,20,800x800,640000
00000000.jpg,0.33483,0.01173,8,20,1024x1024,1048576
00000000_(2).jpg,0.19001,0.00438,8,20,800x800,640000
00000000.jpg,0.74291,0.01340,16,20,1024x1024,1048576
00000000_(2).jpg,0.45202,0.01613,16,20,800x800,640000
00000000.jpg,0.49029,0.02761,16,20,1024x1024,1048576
00000000_(2).jpg,0.29207,0.01684,16,20,800x800,640000
00000000.jpg,0.41262,0.02875,16,20,1024x1024,1048576
00000000_(2).jpg,0.21971,0.01671,16,20,800x800,640000
00000000.jpg,0.31460,0.01994,16,20,1024x1024,1048576
00000000_(2).jpg,0.19585,0.01147,16,20,800x800,640000
00000000.jpg,1.22940,0.00862,32,20,1024x1024,1048576
00000000_(2).jpg,0.75302,0.00415,32,20,800x800,640000
00000000.jpg,0.73743,0.02689,32,20,1024x1024,1048576
00000000_(2).jpg,0.44132,0.01460,32,20,800x800,640000
00000000.jpg,0.54606,0.01564,32,20,1024x1024,1048576
