Filename,ExecutionTime,K,MaxIters,Resolution,Pixels
00000000.jpg,6.2674,16,10,1024x1024,1048576
00000000_(2).jpg,3.7032,16,10,800x800,640000
00000000_(3).jpg,4.8638,16,10,1024x772,790528
00000000_(4).jpg,5.1179,16,10,1024x768,786432
00000000_(5).jpg,4.2505,16,10,1024x685,701440
00000000_(6).jpg,3.7850,16,10,1024x550,563200
00000000_(7).jpg,4.4716,16,10,1024x683,699392
00000001.jpg,7.7707,16,10,1024x1024,1048576
00000001_(2).jpg,11.4995,16,10,1024x1024,1048576
00000001_(3).jpg,15.5284,16,10,1600x900,1440000
00000001_(4).jpg,8.4294,16,10,1024x768,786432
00000001_(5).jpg,18.4512,16,10,1600x1081,1729600
00000001_(6).jpg,15.2453,16,10,1600x975,1560000
00000001_(7).jpg,4.1458,16,10,533x799,425867
00000002.jpg,7.3057,16,10,800x800,640000
00000002_(2).jpg,7.1905,16,10,800x800,640000
00000002_(3).jpg,7.1253,16,10,1024x650,665600
00000002_(4).jpg,4.4103,16,10,800x537,429600
00000002_(5).jpg,8.4751,16,10,879x879,772641
00000002_(6).jpg,2.9144,16,10,640x427,273280
00000003.jpg,6.9333,16,10,800x800,640000
00000003_(2).jpg,7.0579,16,10,800x800,640000
00000003_(3).jpg,4.6324,16,10,533x799,425867
00000003_(4).jpg,8.2094,16,10,1024x768,786432
00000003_(5).jpg,6.7476,16,10,800x800,640000
00000003_(6).jpg,17.4118,16,10,1600x1060,1696000
00000003_(7).jpg,2.9320,16,10,640x427,273280
00000004.jpg,10.5141,16,10,1024x1024,1048576
00000004_(2).jpg,6.5249,16,10,800x800,640000
00000004_(3).jpg,17.4195,16,10,1600x1066,1705600
00000004_(4).jpg,4.4452,16,10,800x536,428800
00000004_(5).jpg,10.6522,16,10,1024x1024,1048576
00000004_(6).jpg,6.3216,16,10,1023x608,621984
00000004_(7).jpg,7.6732,16,10,1024x683,699392
00000005.jpg,7.3181,16,10,800x800,640000
00000005_(2).jpg,6.9352,16,10,800x800,640000
00000005_(3).jpg,10.9127,16,10,1024x999,1022976
00000005_(4).jpg,16.1990,16,10,1600x966,1545600
00000005_(5).jpg,6.2670,16,10,800x800,640000
00000005_(6).jpg,7.9775,16,10,1600x680,1088000
00000005_(7).jpg,2.9089,16,10,532x800,425600
00000006.jpg,4.0346,16,10,800x800,640000
00000006_(2).jpg,3.8252,16,10,800x800,640000
00000006_(3).jpg,4.2866,16,10,1024x683,699392
00000006_(4).jpg,1.6899,16,10,639x453,289467
00000006_(5).jpg,4.1678,16,10,1023x684,699732
00000006_(6).jpg,10.1841,16,10,1599x1059,1693341
00000007.jpg,3.7575,16,10,800x800,640000
00000007_(2).jpg,6.2470,16,10,1024x1024,1048576
00000007_(3).jpg,4.0765,16,10,1024x683,699392
00000007_(4).jpg,4.4625,16,10,1024x768,786432
00000007_(5).jpg,3.5861,16,10,800x800,640000
00000007_(6).jpg,1.5247,16,10,640x426,272640
00000007_(7).jpg,1.5422,16,10,640x427,273280
00000008.jpg,6.1555,16,10,1024x1024,1048576
00000008_(2).jpg,6.0639,16,10,1024x1024,1048576
00000008_(3).jpg,8.5228,16,10,1600x941,1505600
00000008_(4).jpg,2.7612,16,10,700x700,490000
00000008_(5).jpg,3.9859,16,10,1024x685,701440
00000008_(6).jpg,9.8244,16,10,1600x1068,1708800
00000009.jpg,1.4412,16,10,500x500,250000
00000009_(2).jpg,6.3129,16,10,1024x1024,1048576
00000009_(3).jpg,4.1512,16,10,1024x683,699392
00000009_(4).jpg,4.5160,16,10,1024x768,786432
00000009_(5).jpg,10.0313,16,10,1600x1065,1704000
00000009_(6).jpg,2.3043,16,10,1024x353,361472
00000009_(7).jpg,1.6037,16,10,640x427,273280
00000010.jpg,3.7326,16,10,800x800,640000
00000010_(2).jpg,3.5936,16,10,800x800,640000
00000010_(3).jpg,3.9797,16,10,1024x683,699392
00000010_(4).jpg,10.4616,16,10,1600x1065,1704000
00000010_(5).jpg,6.3783,16,10,1024x1024,1048576
